region_nombre,Fecha,primera_dosis,segunda_dosis,unica_dosis,region,pob_2021,avance_vacunacion,cobertura_vacunacion,avance_porcentual,cobertura_porcentual
Aysén,2020-12-24,0.0,0.0,0.0,11,107737,0.0,0.0,0.0,0.0
Antofagasta,2020-12-24,0.0,0.0,0.0,2,703746,0.0,0.0,0.0,0.0
Arica y Parinacota,2020-12-24,0.0,0.0,0.0,15,255380,0.0,0.0,0.0,0.0
Atacama,2020-12-24,0.0,0.0,0.0,3,316737,0.0,0.0,0.0,0.0
Coquimbo,2020-12-24,0.0,0.0,0.0,4,848079,0.0,0.0,0.0,0.0
Araucanía,2020-12-24,0.0,0.0,0.0,9,1019548,0.0,0.0,0.0,0.0
Los Lagos,2020-12-24,0.0,0.0,0.0,10,897303,0.0,0.0,0.0,0.0
Los Ríos,2020-12-24,0.0,0.0,0.0,14,407818,0.0,0.0,0.0,0.0
Magallanes,2020-12-24,0.0,0.0,0.0,12,179949,0.0,0.0,0.0,0.0
Tarapacá,2020-12-24,0.0,0.0,0.0,1,391165,0.0,0.0,0.0,0.0
Valparaíso,2020-12-24,0.0,0.0,0.0,5,1979373,0.0,0.0,0.0,0.0
Ñuble,2020-12-24,0.0,0.0,0.0,16,514508,0.0,0.0,0.0,0.0
Biobío,2020-12-24,0.0,0.0,0.0,8,1670590,0.0,0.0,0.0,0.0
O’Higgins,2020-12-24,0.0,0.0,0.0,6,1000959,0.0,0.0,0.0,0.0
Maule,2020-12-24,0.0,0.0,0.0,7,1143012,0.0,0.0,0.0,0.0
Metropolitana,2020-12-24,420.0,0.0,0.0,13,8242459,420.0,0.0,0.01,0.0
Aysén,2020-12-25,0.0,0.0,0.0,11,107737,0.0,0.0,0.0,0.0
Antofagasta,2020-12-25,0.0,0.0,0.0,2,703746,0.0,0.0,0.0,0.0
Arica y Parinacota,2020-12-25,0.0,0.0,0.0,15,255380,0.0,0.0,0.0,0.0
Atacama,2020-12-25,0.0,0.0,0.0,3,316737,0.0,0.0,0.0,0.0
Coquimbo,2020-12-25,0.0,0.0,0.0,4,848079,0.0,0.0,0.0,0.0
Araucanía,2020-12-25,711.0,0.0,0.0,9,1019548,711.0,0.0,0.07,0.0
Los Lagos,2020-12-25,0.0,0.0,0.0,10,897303,0.0,0.0,0.0,0.0
Los Ríos,2020-12-25,0.0,0.0,0.0,14,407818,0.0,0.0,0.0,0.0
Magallanes,2020-12-25,165.0,0.0,0.0,12,179949,165.0,0.0,0.09,0.0
Tarapacá,2020-12-25,0.0,0.0,0.0,1,391165,0.0,0.0,0.0,0.0
Valparaíso,2020-12-25,0.0,0.0,0.0,5,1979373,0.0,0.0,0.0,0.0
Ñuble,2020-12-25,0.0,0.0,0.0,16,514508,0.0,0.0,0.0,0.0
Biobío,2020-12-25,1388.0,0.0,0.0,8,1670590,1388.0,0.0,0.08,0.0
O’Higgins,2020-12-25,0.0,0.0,0.0,6,1000959,0.0,0.0,0.0,0.0
Maule,2020-12-25,0.0,0.0,0.0,7,1143012,0.0,0.0,0.0,0.0
Metropolitana,2020-12-25,2934.0,0.0,0.0,13,8242459,2934.0,0.0,0.04,0.0
Aysén,2020-12-26,0.0,0.0,0.0,11,107737,0.0,0.0,0.0,0.0
Antofagasta,2020-12-26,0.0,0.0,0.0,2,703746,0.0,0.0,0.0,0.0
Arica y Parinacota,2020-12-26,0.0,0.0,0.0,15,255380,0.0,0.0,0.0,0.0
Atacama,2020-12-26,0.0,0.0,0.0,3,316737,0.0,0.0,0.0,0.0
Coquimbo,2020-12-26,0.0,0.0,0.0,4,848079,0.0,0.0,0.0,0.0
Araucanía,2020-12-26,711.0,0.0,0.0,9,1019548,711.0,0.0,0.07,0.0
Los Lagos,2020-12-26,0.0,0.0,0.0,10,897303,0.0,0.0,0.0,0.0
